date,close,open,highest,lowest,volume,rate,_index
2022-06-20,21163.91,20948.8,21175.98,20839.02,2.09B,0.42%,hk
2022-06-17,21075,20716.74,21145.94,20697.17,3.10B,1.10%,hk
2022-06-16,20845.43,21515.64,21545.84,20697.41,2.34B,-2.17%,hk
2022-06-15,21308.21,21111.32,21431.07,21111.32,2.30B,1.14%,hk
2022-06-14,21067.99,20783.54,21175.01,20717.64,1.97B,0.00%,hk
2022-06-13,21067.58,21162.53,21320.15,20993.76,2.61B,-3.39%,hk
2022-06-10,21806.18,21522.5,21935.01,21487.91,2.69B,-0.29%,hk
2022-06-09,21869.05,22121.53,22142.82,21737.94,2.54B,-0.66%,hk
2022-06-08,22014.59,21788.89,22064.12,21734.49,2.94B,2.24%,hk
2022-06-07,21531.67,21577.48,21744.46,21394.59,2.15B,-0.56%,hk
2022-06-06,21653.9,21282.51,21691.92,21030.07,2.24B,2.71%,hk
2022-06-02,21082.13,21057.04,21115.78,20884.16,1.82B,-1.00%,hk
2022-06-01,21294.94,21407.79,21411.95,21154.04,2.07B,-0.56%,hk
2022-05-31,21415.2,21106.41,21415.2,21029.72,3.92B,1.38%,hk
2022-05-30,21123.93,20933.5,21169.08,20885.02,2.61B,2.06%,hk
2022-05-27,20697.36,20646.06,20779.75,20494.15,2.57B,2.89%,hk
2022-05-26,20116.2,20272.22,20272.22,19890.76,1.86B,-0.27%,hk
2022-05-25,20171.27,20115.56,20370.74,20067.98,2.10B,0.29%,hk
2022-05-24,20112.1,20420.14,20509.62,19989.62,1.83B,-1.75%,hk
2022-05-23,20470.06,20608.65,20642.76,20303.55,1.70B,-1.19%,hk
2022-05-20,20717.24,20470.95,20794.13,20408.68,2.17B,2.96%,hk
2022-05-19,20120.68,20146.96,20277.94,19924.87,2.12B,-2.54%,hk
2022-05-18,20644.28,20674.23,20711.93,20389.61,1.95B,0.20%,hk
2022-05-17,20602.52,20193.6,20626.42,20169.24,2.21B,3.27%,hk
2022-05-16,19950.21,20131.53,20173.22,19764.96,1.80B,0.26%,hk
2022-05-13,19898.77,19615.99,19925.44,19608.26,2.08B,2.68%,hk
2022-05-12,19380.34,19556.89,19731.27,19342.89,2.27B,-2.24%,hk
2022-05-11,19824.57,19511.8,20083.49,19474.03,1.96B,0.97%,hk
2022-05-10,19633.69,19300.68,19758.63,19178.89,2.79B,-1.84%,hk
2022-05-06,20001.96,20287.06,20320.28,19973.47,2.11B,-3.81%,hk
2022-05-05,20793.4,21163.15,21284.85,20776.97,1.83B,-0.36%,hk
2022-05-04,20869.52,21101.89,21101.89,20775.2,,-1.10%,hk
2022-05-03,21101.89,20927.62,21291.8,20648.53,1.74B,0.06%,hk
2022-04-29,21089.39,20271.4,21154.85,20042.85,,4.01%,hk
2022-04-28,20276.17,19946.36,20285.92,19946.36,,1.65%,hk
2022-04-27,19946.36,19723.46,20053.11,19665.49,2.36B,0.06%,hk
2022-04-26,19934.71,19989.04,20258.64,19858.36,2.57B,0.33%,hk
2022-04-25,19869.34,20638.52,20638.52,19784.28,,-3.73%,hk
2022-04-22,20638.52,20261.61,20709.49,20184.96,2.35B,-0.21%,hk
2022-04-21,20682.22,20780.86,20920.6,20483.86,2.23B,-1.25%,hk
2022-04-20,20944.67,20972.84,21214.98,20889.02,1.88B,-0.40%,hk
2022-04-19,21027.76,21106,21191.8,20896.43,2.24B,-2.28%,hk
2022-04-14,21518.08,21463.35,21587.47,21358.73,1.72B,0.67%,hk
2022-04-13,21374.37,21192.62,21531.48,21141.06,1.70B,0.26%,hk
2022-04-12,21319.13,21279.18,21519.13,20988.2,2.05B,0.52%,hk
2022-04-11,21208.3,21688.03,21688.03,21132.54,2.10B,-3.03%,hk
2022-04-08,21872.01,21667.53,21872.01,21568.22,1.74B,0.29%,hk
2022-04-07,21808.98,21910.4,22236.93,21779.19,2.08B,-1.23%,hk
2022-04-06,22080.52,22220.21,22244.99,22015.12,2.75B,-1.87%,hk
2022-04-04,22502.31,22227.11,22523.64,22124.03,1.87B,2.10%,hk
2022-04-01,22039.55,21693.1,22039.55,21558.05,1.94B,0.19%,hk
2022-03-31,21996.85,22262.16,22262.16,21922.58,2.23B,-1.06%,hk
2022-03-30,22232.03,22101.63,22391.35,22033.78,2.73B,1.39%,hk
2022-03-29,21927.63,21771.29,21937.27,21722.17,2.26B,1.12%,hk
2022-03-28,21684.97,21422.2,21790.97,21202.69,2.20B,1.31%,hk
2022-03-25,21404.88,21735.61,21944.08,21289.26,2.36B,-2.47%,hk
2022-03-24,21945.95,22002.87,22231.67,21900.13,2.40B,-0.94%,hk
2022-03-23,22154.08,22088.79,22423.51,21983.1,2.84B,1.21%,hk
2022-03-22,21889.28,21319.19,21906.32,21266.9,2.59B,3.15%,hk
2022-03-21,21221.34,21823.07,21823.07,21096.31,2.34B,-0.89%,hk
2022-03-18,21412.4,21232.88,21646.15,20922.37,4.59B,-0.41%,hk
2022-03-17,21501.23,21430.71,21501.23,20786.69,4.83B,7.04%,hk
2022-03-16,20087.5,18956.02,20120.85,18584.04,5.50B,9.08%,hk
2022-03-15,18415.08,18931.18,19392.69,18235.48,6.01B,-5.72%,hk
2022-03-14,19531.66,20203.84,20203.84,19416.78,4.10B,-4.97%,hk
2022-03-11,20553.79,20460.03,20778.86,20079.15,3.02B,-1.61%,hk
2022-03-10,20890.26,21106.57,21114.44,20709.62,2.69B,1.27%,hk
2022-03-09,20627.71,20820.02,20957.72,20102.57,3.67B,-0.67%,hk
2022-03-08,20765.87,21082.39,21303.52,20638.95,3.23B,-1.39%,hk
2022-03-07,21057.63,21308.9,21327.19,20826.36,3.32B,-3.87%,hk
2022-03-04,21905.29,21879.13,22017.94,21838.99,2.44B,-2.50%,hk
2022-03-03,22467.34,22434.26,22543.42,22378.11,1.94B,0.55%,hk
2022-03-02,22343.92,22568.36,22712.44,22299.14,2.23B,-1.84%,hk
2022-03-01,22761.71,22739.84,22937.56,22591.73,1.80B,0.21%,hk
2022-02-28,22713.02,22818.17,22818.17,22406.12,2.83B,-0.24%,hk
2022-02-25,22767.18,22908.1,23046.86,22718.15,2.52B,-0.59%,hk
2022-02-24,22901.56,23268.03,23376.37,22786.39,3.00B,-3.21%,hk
2022-02-23,23660.28,23617.97,23745.07,23500.92,1.42B,0.60%,hk
2022-02-22,23520,23692.54,23813.64,23336.78,2.06B,-2.69%,hk
2022-02-21,24170.07,24109.59,24231.08,23998.77,1.62B,-0.65%,hk
2022-02-18,24327.71,24633.66,24763.37,24284.53,1.68B,-1.88%,hk
2022-02-17,24792.77,24722.88,24861.82,24523.95,1.57B,0.30%,hk
2022-02-16,24718.9,24618.3,24728.93,24548.05,1.82B,1.49%,hk
2022-02-15,24355.71,24458.5,24570.09,24219.9,2.63B,-0.82%,hk
2022-02-14,24556.57,24725.1,24733.11,24482.86,1.98B,-1.41%,hk
2022-02-11,24906.66,24837.2,24957.81,24732.65,2.51B,-0.07%,hk
2022-02-10,24924.35,25050.59,25050.59,24649.74,2.10B,0.38%,hk
2022-02-09,24829.99,24727.34,24896.43,24690.45,2.51B,2.06%,hk
2022-02-08,24329.49,24548.05,24548.05,24149.75,2.29B,-1.02%,hk
2022-02-07,24579.55,24609.43,24616.5,24365.89,2.54B,0.03%,hk
2023-01-30,11393.81,11512.34,11553.31,11388.54,954.43M,-1.96%,nsdq
2023-01-27,11621.71,11470.47,11691.89,11470.27,1.05B,0.95%,nsdq
2023-01-26,11512.41,11458.41,11516.05,11341.19,992.60M,1.76%,nsdq
